2025-08-20 17:47:35,826 | INFO | main-bot | Deleted webhook & dropped pending updates.
2025-08-20 17:47:35,826 | INFO | main-bot | Starting bot...
2025-08-20 17:47:36,997 | INFO | telegram.ext.Application | Application started
2025-08-20 17:47:56,527 | INFO | main-bot | Step1: logged -> telegram_group_log.csv
2025-08-20 17:47:56,529 | INFO | main-bot | Step2: skip resolved VNDC2613452697
2025-08-20 17:52:56,695 | INFO | main-bot | Step1: logged -> telegram_group_log.csv
2025-08-20 17:52:57,390 | INFO | main-bot | Step2: VNDC2613453389 -> 6277729720941862814 (append userid_from_txn.csv)
2025-08-21 08:33:17,222 | INFO | main-bot | Step1: logged -> telegram_group_log.csv
2025-08-21 08:33:18,010 | INFO | main-bot | Step2: VNDC2616130491 -> 6277729705823836062 (append userid_from_txn.csv)
2025-08-21 09:22:21,125 | INFO | main-bot | Step1: logged -> telegram_group_log.csv
